week_date,current_projects,current_projects_target,current_projects_diversity,starting_projects,starting_projects_target,starting_projects_diversity,ending_projects,ending_projects_target,ending_projects_diversity,success_rate,Age,winter,automn,spring,summer,start_month,end_month,back_to_school,toussaint,noel,winter_hol,spring_hol,start_year,end_year
2010-12-05 00:00:00+00:00,24,5783.333333333333,1.957402511444135,2,2250.0,0.6931471805599453,2,4300.0,-0.0,0.5,0,0,1,0,0,1,0,0,0,0,0,0,0,1
2010-12-12 00:00:00+00:00,25,5468.0,1.9706688585251653,3,2166.6666666666665,0.6365141682948128,0,0.0,0.0,0.3333333333333333,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2010-12-26 00:00:00+00:00,25,6468.0,1.9260401482623233,1,30000.0,-0.0,6,13250.0,0.8675632284814612,0.0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
2011-01-02 00:00:00+00:00,21,4128.571428571428,1.9513496062520654,2,2250.0,0.6931471805599453,0,0.0,0.0,0.5,1,1,0,0,0,1,0,0,0,1,0,0,1,0
2011-01-09 00:00:00+00:00,22,4350.0,1.9453165424776917,1,9000.0,-0.0,1,1100.0,-0.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
2011-01-16 00:00:00+00:00,30,4418.0,2.046575445599946,9,4215.555555555556,1.8891591637540217,1,3000.0,-0.0,0.4444444444444444,1,1,0,0,0,0,0,0,0,0,0,0,1,0
2011-01-23 00:00:00+00:00,33,4085.2727272727275,1.993268108894772,4,1318.5,1.3862943611198906,2,2500.0,0.6931471805599453,0.75,1,1,0,0,0,0,0,0,0,0,0,0,1,0
2011-01-30 00:00:00+00:00,39,4174.717948717948,1.973462938686519,8,4125.0,1.4941751382893085,6,4316.666666666667,1.329661348854758,0.125,1,1,0,0,0,0,1,0,0,0,0,0,1,0
2011-02-06 00:00:00+00:00,34,4144.529411764706,2.01741963247381,1,4000.0,-0.0,2,1000.0,0.6931471805599453,0.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
2011-02-20 00:00:00+00:00,35,4283.257142857143,2.0180337057599593,3,3666.6666666666665,0.6365141682948128,0,0.0,0.0,0.3333333333333333,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-27 00:00:00+00:00,39,4054.2051282051284,2.1300948110082865,4,2050.0,1.3862943611198906,2,1337.0,0.6931471805599453,0.25,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2011-03-06 00:00:00+00:00,40,4044.75,2.059706105512965,3,2116.6666666666665,1.0986122886681096,2,15750.0,0.6931471805599453,0.6666666666666666,1,1,0,0,0,1,0,0,0,0,1,0,0,0
2011-03-13 00:00:00+00:00,45,3241.688888888889,2.111228179270272,7,2226.5714285714284,0.9556998911125343,3,3333.3333333333335,0.6365141682948128,0.42857142857142855,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-20 00:00:00+00:00,51,3126.9803921568628,2.1916473471250777,9,2622.222222222222,1.7351264569629228,4,2285.0,1.3862943611198906,0.5555555555555556,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-27 00:00:00+00:00,54,3632.1481481481483,2.217232067117978,7,6542.857142857143,1.5498260458782016,2,1500.0,0.6931471805599453,0.42857142857142855,1,1,0,0,0,0,1,0,0,0,0,0,0,0
2011-04-03 00:00:00+00:00,60,3637.6,2.2368613126193706,8,3140.0,1.7328679513998633,2,1050.0,0.6931471805599453,0.25,1,0,0,1,0,1,0,0,0,0,0,0,0,0
2011-04-10 00:00:00+00:00,64,3627.4375,2.227822559901306,6,2666.6666666666665,1.5607104090414063,4,1337.5,1.3862943611198906,0.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2011-04-17 00:00:00+00:00,64,3841.96875,2.1949011798743143,4,4770.0,1.0397207708399179,1,500.0,-0.0,0.75,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2011-04-24 00:00:00+00:00,69,3721.536231884058,2.1707386910519966,6,1900.0,1.242453324894,3,2500.0,1.0986122886681096,0.3333333333333333,1,0,0,1,0,0,0,0,0,0,0,1,0,0
2011-05-01 00:00:00+00:00,71,3815.2957746478874,2.0959892094630077,5,4320.0,1.3321790402101223,6,1000.0,1.242453324894,0.6,1,0,0,1,0,1,0,0,0,0,0,1,0,0
2011-05-08 00:00:00+00:00,73,3776.5205479452056,2.1819487230099375,8,1350.0,1.7328679513998633,6,3664.3333333333335,1.329661348854758,0.375,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2011-05-15 00:00:00+00:00,70,3684.714285714286,2.1395339940007307,3,1410.0,1.0986122886681096,11,4090.909090909091,1.7201934592198251,0.6666666666666666,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2011-05-22 00:00:00+00:00,67,3877.2985074626868,2.2007332234357726,8,5856.125,1.9061547465398496,2,4350.0,0.6931471805599453,0.375,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2011-05-29 00:00:00+00:00,70,3851.1285714285714,2.191030121613267,5,3700.0,1.3321790402101223,12,4016.6666666666665,1.8636799873410004,0.2,1,0,0,1,0,0,1,0,0,0,0,0,0,0
